H5Awrite	https://docs.hdfgroup.org/hdf5/v1_14/group___h5_a.html#gab70871e205d57450c83efd9912be2b5c
H5Awrite_async	https://docs.hdfgroup.org/hdf5/v1_14/group___a_s_y_n_c.html#gae841dec1e2f4fecd88252307d20c1a59
H5DOappend	https://docs.hdfgroup.org/hdf5/v1_14/group___h5_d_o.html#ga316caac160af15192e0c78228667341e
H5DOread_chunk	https://docs.hdfgroup.org/hdf5/v1_14/group___h5_d_o.html#gaaf8ec5a5623f93549e49c39f95c4abab
H5DOwrite_chunk	https://docs.hdfgroup.org/hdf5/v1_14/group___h5_d_o.html#gabc3c07ed2cf29dd34035194919fbeb31
H5DSattach_scale	https://docs.hdfgroup.org/hdf5/v1_14/group___h5_d_s.html#ga4149785cd62520d6fc2736489f74e296
H5DSdetach_scale	https://docs.hdfgroup.org/hdf5/v1_14/group___h5_d_s.html#gac94c498a5f8fc38b0619307f2ac1593a
H5DSget_label	https://docs.hdfgroup.org/hdf5/v1_14/group___h5_d_s.html#gaaefa5dcd96a7dba034764b70e2f3aa38
H5DSget_num_scales	https://docs.hdfgroup.org/hdf5/v1_14/group___h5_d_s.html#gaa373f8cb78fa2014c50fe8e3dd85ea90
H5DSget_scale_name	https://docs.hdfgroup.org/hdf5/v1_14/group___h5_d_s.html#ga81de6ce31478c7bc3a9f80b8c600170a
H5DSis_attached	https://docs.hdfgroup.org/hdf5/v1_14/group___h5_d_s.html#ga76884eddb41d52adf4eb3278c135bbe4
H5DSis_scale	https://docs.hdfgroup.org/hdf5/v1_14/group___h5_d_s.html#ga06f897270fe32408f40bba69c747fc6b
H5DSiterate_scales	https://docs.hdfgroup.org/hdf5/v1_14/group___h5_d_s.html#ga5394de7b3d915f45881abeb158060274
H5DSset_label	https://docs.hdfgroup.org/hdf5/v1_14/group___h5_d_s.html#gaf3810cf2fde9e8d06d8151a879e081b2
H5DSset_scale	https://docs.hdfgroup.org/hdf5/v1_14/group___h5_d_s.html#ga508a06962e9fc11dff32ed356e0a71fa
H5DSwith_new_ref	https://docs.hdfgroup.org/hdf5/v1_14/group___h5_d_s.html#gaed2b97139202dfe69f3f2a7364c10fbc
